r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.727804064750671387e-01,5.408786535263061523e-01,5.012506246566772461e-01,5.348235964775085449e-01,5.298429489135742188e+00,6.199999809265136719e+00,0.000000000000000000e+00,3.790000000000000000e+02,7.000000000000000000e+00,2.420000000000000000e+02,3.000000000000000000e+00,9.812244027853012085e-02,6.360197812318801880e-02,6.179999709129333496e-01,0.000000000000000000e+00,5.240248441696166992e-01,4.011810302734375000e+01
9.727804064750671387e-01,5.456974506378173828e-01,5.026144981384277344e-01,5.375413894653320312e-01,5.656084537506103516e+00,8.600000381469726562e+00,0.000000000000000000e+00,3.850000000000000000e+02,9.000000000000000000e+00,2.480000000000000000e+02,6.000000000000000000e+00,9.868134558200836182e-02,6.748773157596588135e-02,6.219999790191650391e-01,0.000000000000000000e+00,5.294767022132873535e-01,4.135743331909179688e+01
9.727804064750671387e-01,5.512423515319824219e-01,5.024506449699401855e-01,5.379297137260437012e-01,5.562841415405273438e+00,6.900000095367431641e+00,0.000000000000000000e+00,3.800000000000000000e+02,7.000000000000000000e+00,2.300000000000000000e+02,2.000000000000000000e+00,1.004190370440483093e-01,7.061471045017242432e-02,6.340000033378601074e-01,0.000000000000000000e+00,5.252467989921569824e-01,4.246670532226562500e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.029728412628173828e-01,5.382472276687622070e-01,5.521977901458740234e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.780000000000000000e+02,4.000000000000000000e+00,2.420000000000000000e+02,0.000000000000000000e+00,9.853547811508178711e-02,5.591955780982971191e-02,6.359999775886535645e-01,0.000000000000000000e+00,5.371195077896118164e-01,4.342311096191406250e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.012745261192321777e-01,5.323504209518432617e-01,5.313131332397460938e+00,7.400000095367431641e+00,0.000000000000000000e+00,3.770000000000000000e+02,9.000000000000000000e+00,2.360000000000000000e+02,2.000000000000000000e+00,9.890873730182647705e-02,7.052734494209289551e-02,6.039999723434448242e-01,0.000000000000000000e+00,5.220741033554077148e-01,4.454010391235351562e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.020138621330261230e-01,5.375227332115173340e-01,5.590163707733154297e+00,6.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+02,6.000000000000000000e+00,2.400000000000000000e+02,1.000000000000000000e+00,9.970657527446746826e-02,6.762854009866714478e-02,6.340000033378601074e-01,0.000000000000000000e+00,5.294767022132873535e-01,4.556341171264648438e+01
9.727804064750671387e-01,5.429778695106506348e-01,5.034794807434082031e-01,5.369167327880859375e-01,5.950549602508544922e+00,7.000000000000000000e+00,0.000000000000000000e+00,3.930000000000000000e+02,8.000000000000000000e+00,2.500000000000000000e+02,4.000000000000000000e+00,9.967803955078125000e-02,5.970903486013412476e-02,6.359999775886535645e-01,0.000000000000000000e+00,5.314825177192687988e-01,4.669537734985351562e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.027676224708557129e-01,5.371052026748657227e-01,5.847133636474609375e+00,6.699999809265136719e+00,0.000000000000000000e+00,3.920000000000000000e+02,7.000000000000000000e+00,2.390000000000000000e+02,4.000000000000000000e+00,9.899513423442840576e-02,6.693749874830245972e-02,6.859999895095825195e-01,0.000000000000000000e+00,5.314320921897888184e-01,4.785154724121093750e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.014743804931640625e-01,5.303587913513183594e-01,5.977777957916259766e+00,5.909090995788574219e+00,0.000000000000000000e+00,4.040000000000000000e+02,8.000000000000000000e+00,2.730000000000000000e+02,1.000000000000000000e+00,1.019899174571037292e-01,7.065949589014053345e-02,6.399999856948852539e-01,0.000000000000000000e+00,5.198706984519958496e-01,4.910070037841796875e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.017458796501159668e-01,5.347552299499511719e-01,5.870466232299804688e+00,8.090909004211425781e+00,0.000000000000000000e+00,3.880000000000000000e+02,8.000000000000000000e+00,2.360000000000000000e+02,4.000000000000000000e+00,1.023093983530998230e-01,7.027218490839004517e-02,6.140000224113464355e-01,0.000000000000000000e+00,5.273523330688476562e-01,5.031072998046875000e+01
